Effective Date,AB - Alberta Internal Load Hr Avg MW
01/01/2019 0:00,10002
01/01/2019 1:00,9867
01/01/2019 2:00,9736
01/01/2019 3:00,9594
01/01/2019 4:00,9524
01/01/2019 5:00,9517
01/01/2019 6:00,9590
01/01/2019 7:00,9654
01/01/2019 8:00,9713
01/01/2019 9:00,9729
01/01/2019 10:00,9840
01/01/2019 11:00,9932
01/01/2019 12:00,9988
01/01/2019 13:00,9974
01/01/2019 14:00,9958
01/01/2019 15:00,10028
01/01/2019 16:00,10308
01/01/2019 17:00,10610
01/01/2019 18:00,10473
01/01/2019 19:00,10355
01/01/2019 20:00,10198
01/01/2019 21:00,9985
01/01/2019 22:00,9698
01/01/2019 23:00,9440
02/01/2019 0:00,9263
02/01/2019 1:00,9148
02/01/2019 2:00,9151
02/01/2019 3:00,9195
02/01/2019 4:00,9250
02/01/2019 5:00,9435
02/01/2019 6:00,9775
02/01/2019 7:00,10144
02/01/2019 8:00,10392
02/01/2019 9:00,10474
02/01/2019 10:00,10541
02/01/2019 11:00,10584
02/01/2019 12:00,10521
02/01/2019 13:00,10481
02/01/2019 14:00,10378
02/01/2019 15:00,10382
02/01/2019 16:00,10561
02/01/2019 17:00,10770
02/01/2019 18:00,10613
02/01/2019 19:00,10501
02/01/2019 20:00,10392
02/01/2019 21:00,10204
02/01/2019 22:00,9872
02/01/2019 23:00,9583
03/01/2019 0:00,9406
03/01/2019 1:00,9292
03/01/2019 2:00,9219
03/01/2019 3:00,9219
03/01/2019 4:00,9234
03/01/2019 5:00,9374
03/01/2019 6:00,9672
03/01/2019 7:00,10051
03/01/2019 8:00,10326
03/01/2019 9:00,10326
03/01/2019 10:00,10435
03/01/2019 11:00,10462
03/01/2019 12:00,10486
03/01/2019 13:00,10501
03/01/2019 14:00,10534
03/01/2019 15:00,10555
03/01/2019 16:00,10690
03/01/2019 17:00,10901
03/01/2019 18:00,10755
03/01/2019 19:00,10626
03/01/2019 20:00,10509
03/01/2019 21:00,10329
03/01/2019 22:00,9998
03/01/2019 23:00,9720
04/01/2019 0:00,9517
04/01/2019 1:00,9384
04/01/2019 2:00,9333
04/01/2019 3:00,9267
04/01/2019 4:00,9302
04/01/2019 5:00,9478
04/01/2019 6:00,9869
04/01/2019 7:00,10245
04/01/2019 8:00,10435
04/01/2019 9:00,10532
04/01/2019 10:00,10597
04/01/2019 11:00,10658
04/01/2019 12:00,10621
04/01/2019 13:00,10628
04/01/2019 14:00,10626
04/01/2019 15:00,10618
04/01/2019 16:00,10696
04/01/2019 17:00,10877
04/01/2019 18:00,10764
04/01/2019 19:00,10645
04/01/2019 20:00,10514
04/01/2019 21:00,10368
04/01/2019 22:00,10118
04/01/2019 23:00,9887
05/01/2019 0:00,9664
05/01/2019 1:00,9492
05/01/2019 2:00,9330
05/01/2019 3:00,9276
05/01/2019 4:00,9270
05/01/2019 5:00,9348
05/01/2019 6:00,9507
05/01/2019 7:00,9754
05/01/2019 8:00,9997
05/01/2019 9:00,10156
05/01/2019 10:00,10293
05/01/2019 11:00,10343
05/01/2019 12:00,10352
05/01/2019 13:00,10356
05/01/2019 14:00,10330
05/01/2019 15:00,10358
05/01/2019 16:00,10609
05/01/2019 17:00,10789
05/01/2019 18:00,10680
05/01/2019 19:00,10545
05/01/2019 20:00,10445
05/01/2019 21:00,10289
05/01/2019 22:00,10058
05/01/2019 23:00,9813
06/01/2019 0:00,9565
06/01/2019 1:00,9416
06/01/2019 2:00,9316
06/01/2019 3:00,9260
06/01/2019 4:00,9228
06/01/2019 5:00,9279
06/01/2019 6:00,9383
06/01/2019 7:00,9579
06/01/2019 8:00,9721
06/01/2019 9:00,9845
06/01/2019 10:00,9983
06/01/2019 11:00,10077
06/01/2019 12:00,10093
06/01/2019 13:00,10043
06/01/2019 14:00,10107
06/01/2019 15:00,10227
06/01/2019 16:00,10502
06/01/2019 17:00,10805
06/01/2019 18:00,10704
06/01/2019 19:00,10605
06/01/2019 20:00,10430
06/01/2019 21:00,10278
06/01/2019 22:00,9956
06/01/2019 23:00,9670
07/01/2019 0:00,9472
07/01/2019 1:00,9381
07/01/2019 2:00,9370
07/01/2019 3:00,9359
07/01/2019 4:00,9416
07/01/2019 5:00,9661
07/01/2019 6:00,10096
07/01/2019 7:00,10669
07/01/2019 8:00,10927
