Effective Date,AB - Ardenville Wind Hr Avg MW,AB - Blackspring Ridge Hr Avg MW,AB - Blue Trail Wind Hr Avg MW,AB - BUL1 Bull Creek Hr Avg MW,AB - BUL2 Bull Creek Hr Avg MW,AB - Castle River #1 Hr Avg MW,AB - Castle Rock Ridge 2 Hr Avg MW,AB - Castle Rock Wind Farm Hr Avg MW,AB - Cowley Ridge Hr Avg MW,AB - Enmax Taber Hr Avg MW,AB - Ghost Pine Hr Avg MW,AB - Halkirk Wind Power Facility Hr Avg MW,AB - Kettles Hill Wind Hr Avg MW,AB - McBride Lake Hr Avg MW,AB - Oldman 2 Wind Farm 1 Hr Avg MW,AB - Riverview Hr Avg MW,AB - Soderglen Wind Hr Avg MW,AB - Summerview 1 Hr Avg MW,AB - Summerview 2 Hr Avg MW,AB - Suncor Chin Chute Hr Avg MW,AB - Suncor Magrath Hr Avg MW,AB - Suncor Wintering Hills Hr Avg MW,AB - Whitla Hr Avg MW
01/01/2019 0:00,65,154.0833,62.3333,14,15,36.5,,76,9,75.9166,17.4166,143.25,60,67,42.9166,,62.5,54,58.9166,28.0833,26.5,58.9166,
01/01/2019 1:00,65,161.75,62.25,13.5833,14.9166,37,,76,9,75.9166,31.4166,135.4166,59.9166,67,40.9166,,68.0833,53.5,59,27.0833,25.3333,66.4166,
01/01/2019 2:00,65,131.1666,62.1666,13.4166,14.8333,37,,75.9166,9.1666,75.8333,22.5833,131.0833,59.8333,67,31.75,,68.75,49.9166,59,28.0833,28.3333,60.75,
01/01/2019 3:00,64.75,185.4166,62.3333,14,14.8333,36.25,,76,9,75.5833,11.5833,115.3333,59.4166,67,31.5833,,67.5,49.75,59,27.3333,28.4166,68.0833,
01/01/2019 4:00,62,143.75,62.3333,13.5833,13.4166,36.5,,76,9,72.75,24.25,122.5,58.4166,67,40.6666,,69,50.4166,59,25.0833,28.9166,66.8333,
01/01/2019 5:00,62,90.25,62.4166,14,13.0833,36.75,,76,9,66,33,132.8333,58,67,42.9166,,69,53.5,59,27.0833,28.75,56,
01/01/2019 6:00,62,140,62.3333,14,13.9166,35,,76,9,51.5833,28.0833,128.6666,58,67,42.5,,68.8333,52.5,58.9166,27.8333,29,43.9166,
01/01/2019 7:00,62,220.1666,62.25,14,13,35.3333,,75.9166,9,64,26.4166,143.1666,58,67,36.3333,,68.6666,49.75,59,27.75,29,73.5833,
01/01/2019 8:00,61.5,258.0833,62.25,14,11.75,36,,76,9.0833,75.75,39.5,143.9166,58.5,66.75,20.75,,68.9166,35,59,27.75,27.1666,67,
01/01/2019 9:00,61.75,215.1666,62.4166,14,14,35.75,,76,9.0833,76.4166,69.6666,144.25,59.9166,66.25,14.8333,,68.9166,25.75,59,27.6666,28,78.9166,
