Effective Date,ERC - Actual System Load MW
01/01/2021 0:00,43714
01/01/2021 1:00,43314
01/01/2021 2:00,43048
01/01/2021 3:00,43074
01/01/2021 4:00,43449
01/01/2021 5:00,44179
01/01/2021 6:00,45197
01/01/2021 7:00,45875
01/01/2021 8:00,45935
01/01/2021 9:00,45825
01/01/2021 10:00,45669
01/01/2021 11:00,45172
01/01/2021 12:00,44296
01/01/2021 13:00,43309
01/01/2021 14:00,42444
01/01/2021 15:00,42073
01/01/2021 16:00,42512
01/01/2021 17:00,44357
01/01/2021 18:00,46084
01/01/2021 19:00,46231
01/01/2021 20:00,46008
01/01/2021 21:00,45523
01/01/2021 22:00,44279
01/01/2021 23:00,42945
02/01/2021 0:00,41764
02/01/2021 1:00,40914
02/01/2021 2:00,40539
02/01/2021 3:00,40465
02/01/2021 4:00,41034
02/01/2021 5:00,42112
02/01/2021 6:00,43700
02/01/2021 7:00,45215
02/01/2021 8:00,45734
02/01/2021 9:00,45135
02/01/2021 10:00,43699
02/01/2021 11:00,41973
02/01/2021 12:00,40138
02/01/2021 13:00,38492
02/01/2021 14:00,37355
02/01/2021 15:00,36747
02/01/2021 16:00,36961
02/01/2021 17:00,38779
02/01/2021 18:00,41830
02/01/2021 19:00,42690
02/01/2021 20:00,43154
02/01/2021 21:00,43054
02/01/2021 22:00,42311
02/01/2021 23:00,41392
03/01/2021 0:00,40583
03/01/2021 1:00,40086
03/01/2021 2:00,40026
03/01/2021 3:00,40308
03/01/2021 4:00,40808
03/01/2021 5:00,41869
03/01/2021 6:00,43255
03/01/2021 7:00,44363
03/01/2021 8:00,44326
03/01/2021 9:00,42871
03/01/2021 10:00,40968
03/01/2021 11:00,39254
03/01/2021 12:00,37828
03/01/2021 13:00,36609
03/01/2021 14:00,35699
03/01/2021 15:00,35341
03/01/2021 16:00,35568
03/01/2021 17:00,37119
03/01/2021 18:00,39507
03/01/2021 19:00,39900
03/01/2021 20:00,39844
03/01/2021 21:00,39368
03/01/2021 22:00,38167
03/01/2021 23:00,36843
04/01/2021 0:00,35932
04/01/2021 1:00,35594
04/01/2021 2:00,35641
04/01/2021 3:00,36165
04/01/2021 4:00,37342
04/01/2021 5:00,39738
04/01/2021 6:00,43118
04/01/2021 7:00,45335
04/01/2021 8:00,45096
04/01/2021 9:00,43462
04/01/2021 10:00,41875
04/01/2021 11:00,40603
04/01/2021 12:00,39692
04/01/2021 13:00,39157
04/01/2021 14:00,38762
04/01/2021 15:00,38604
04/01/2021 16:00,38571
04/01/2021 17:00,39323
04/01/2021 18:00,41281
04/01/2021 19:00,41083
04/01/2021 20:00,40445
04/01/2021 21:00,39461
04/01/2021 22:00,37862
04/01/2021 23:00,36087
05/01/2021 0:00,34955
05/01/2021 1:00,34580
05/01/2021 2:00,34602
05/01/2021 3:00,35105
05/01/2021 4:00,36375
05/01/2021 5:00,38886
05/01/2021 6:00,42552
05/01/2021 7:00,44755
05/01/2021 8:00,44489
05/01/2021 9:00,43179
05/01/2021 10:00,41932
05/01/2021 11:00,40862
05/01/2021 12:00,39914
05/01/2021 13:00,39299
05/01/2021 14:00,38757
05/01/2021 15:00,38490
05/01/2021 16:00,38548
05/01/2021 17:00,39619
05/01/2021 18:00,41646
05/01/2021 19:00,41498
05/01/2021 20:00,40837
05/01/2021 21:00,39524
05/01/2021 22:00,37612
05/01/2021 23:00,35618
06/01/2021 0:00,33918
06/01/2021 1:00,32947
06/01/2021 2:00,32416
06/01/2021 3:00,32248
06/01/2021 4:00,32925
06/01/2021 5:00,34760
06/01/2021 6:00,37544
06/01/2021 7:00,39278
06/01/2021 8:00,39802
06/01/2021 9:00,40416
06/01/2021 10:00,40776
